feature,importance
t_armor,0.11043460637373
ct_armor,0.09499595363292195
t_money,0.08640158124941029
ct_money,0.07956698802373333
time_left,0.04827328146615115
t_health,0.044701040354140124
ct_health,0.04281218784516578
ct_defuse_kits,0.04256308662239432
t_weapon_ak47,0.03901879655649312
t_players_alive,0.033620961549219654
ct_weapon_m4a4,0.030368355304687927
t_weapon_sg553,0.028332734140638468
ct_players_alive,0.02376083163072169
ct_weapon_awp,0.02162602668070845
ct_weapon_deagle,0.01518378403622025
t_weapon_p250,0.015052369287266635
t_weapon_deagle,0.014221405656052727
ct_weapon_p2000,0.013671231752696848
ct_weapon_ak47,0.013309998680375284
t_weapon_awp,0.013016104589259704
ct_weapon_sg553,0.012631393032428337
bomb_planted,0.010718152670911236
ct_weapon_p250,0.010705559810983827
ct_weapon_aug,0.00904593626292626
ct_weapon_cz75auto,0.008784394067381504
map_de_inferno,0.008304722035225424
ct_weapon_mp9,0.00818500635594483
map_de_dust2,0.008018718650420496
map_de_mirage,0.007850322185860903
map_de_nuke,0.007742403376336146
t_weapon_usps,0.007455306112500818
ct_weapon_famas,0.006937527130831136
map_de_overpass,0.0069022099009037104
t_weapon_galilar,0.006775607034108833
map_de_train,0.006689991447637522
t_weapon_cz75auto,0.006511985303848189
map_de_vertigo,0.006227327802678657
t_weapon_mac10,0.005842724760896294
ct_weapon_m4a1s,0.0057082961283216075
ct_weapon_fiveseven,0.005249315067288785
t_weapon_m4a4,0.004426874310870312
ct_weapon_ump45,0.0040988717852908875
ct_weapon_ssg08,0.0034500440519750143
t_weapon_ump45,0.003154802431456682
t_weapon_tec9,0.002860366019312344
t_weapon_ssg08,0.001862403496205492
ct_weapon_xm1014,0.0011441591377065916
ct_weapon_glock,0.0011321381054281974
ct_weapon_galilar,0.0010482260396304178
t_weapon_fiveseven,0.0010364933697330442
ct_weapon_elite,0.0010004953509615746
t_weapon_aug,0.0009483143543379222
ct_weapon_tec9,0.0008999448725212861
ct_weapon_mac10,0.00075446458005817
ct_weapon_mag7,0.0006692295203001813
t_weapon_p2000,0.0005081842363804739
t_weapon_mp9,0.000481044594381329
ct_weapon_mp7,0.00042577295651993334
t_weapon_m4a1s,0.00040063339518350285
t_weapon_famas,0.0003938303268584562
t_weapon_elite,0.0003399817707702249
t_weapon_mp7,0.00031778681795636347
t_weapon_mp5sd,0.0003073703827160668
ct_weapon_mp5sd,0.00024399070468842307
ct_weapon_nova,0.00024110633600572448
map_de_cache,0.00018972581506211732
ct_weapon_scar20,0.00013849373271746488
t_weapon_g3sg1,8.887644714746843e-05
t_weapon_xm1014,5.728225796163751e-05
t_weapon_nova,4.761245792687015e-05
t_weapon_sawedoff,3.5249571155831744e-05
t_weapon_p90,3.008988938444967e-05
ct_weapon_p90,2.8273190402530736e-05
t_weapon_bizon,1.0997624408698346e-05
ct_weapon_m249,3.495390322697943e-06
t_weapon_r8revolver,3.134173477633657e-06
t_weapon_scar20,7.706224380478588e-07
t_weapon_mag7,7.2882005362675e-07
t_weapon_negev,5.164908700585581e-07
